Country,City,AccentCity,Population,Latitude,Longitude
eg,port said,Port Said,538377.0,31.2666667,32.3
eg,suez,Suez,488124.0,29.9666667,32.55
eg,tanta,Tanta,404934.0,30.7911111,30.998055600000004
er,asmara,Asmara,563948.0,15.3333333,38.9333333
es,bilbao,Bilbao,349270.0,43.260919,-2.938764
es,cordoba,Córdoba,311186.0,37.89155,-4.772748
es,las palmas,Las Palmas,365418.0,28.099727,-15.413429999999998
es,madrid,Madrid,3102644.0,40.408566,-3.69222
es,malaga,Málaga,557875.0,36.726666,-4.434802
es,murcia,Murcia,410364.0,37.987041,-1.130042
es,palma,Palma,378884.0,39.574337,2.655222
es,sevilla,Sevilla,686647.0,37.382408,-5.976133
es,valladolid,Valladolid,315859.0,41.655181,-4.72372
es,zaragoza,Zaragoza,635509.0,41.64531,-0.884861
et,addis abeba,Addis Abeba,2757807.0,9.024325,38.749226
fi,helsinki,Helsinki,558457.0,60.17555600000001,24.934167
fr,lyon,Lyon,463700.0,45.748457,4.846711
fr,marseille,Marseille,792823.0,43.285413,5.37606
fr,nice,Nice,341621.0,43.713644,7.259519999999998
fr,paris,Paris,2110694.0,48.866667,2.333333
fr,toulouse,Toulouse,411145.0,43.599516,1.433188
ga,libreville,Libreville,578156.0,0.3833333,9.45
gb,belfast,Belfast,585994.0,54.583333,-5.933333
gb,birmingham,Birmingham,984336.0,52.466667,-1.916667
gb,bristol,Bristol,430714.0,51.45,-2.583333
gb,cardiff,Cardiff,302142.0,51.5,-3.2
gb,coventry,Coventry,308314.0,52.416667,-1.55
gb,edinburgh,Edinburgh,435794.0,55.95,-3.2
gb,glasgow,Glasgow,610271.0,55.833333,-4.25
gb,kingston upon hull,Kingston upon Hull,302297.0,53.716667,-0.333333
gb,leeds,Leeds,455124.0,53.8,-1.583333
gb,leicester,Leicester,339240.0,52.664913,-1.034894
gb,liverpool,Liverpool,468946.0,53.416667,-3.0
gb,london,London,7421228.0,51.514125,-0.093689
gb,manchester,Manchester,395516.0,53.5,-2.216667
gb,sheffield,Sheffield,447048.0,53.36666700000001,-1.5
ge,tbilisi,Tbilisi,1049516.0,41.725,44.7908333
gh,accra,Accra,1963460.0,5.55,-0.2166667
gh,kumasi,Kumasi,1468797.0,6.6833333,-1.6166667
gh,tamale,Tamale,360644.0,9.4,-0.8333333
gh,tema,Tema,351556.0,5.6166667000000015,-0.0166667
gn,conakry,Conakry,1871185.0,9.509166699999998,-13.712222199999998
gr,athens,Athens,729139.0,37.9833333,23.7333333
gr,thessaloniki,Thessaloníki,354291.0,40.6402778,22.9438889
gt,guatemala city,Guatemala City,973208.0,14.621111,-90.526944
gt,guatemala,Guatemala,973208.0,14.621111,-90.526944
gt,mixco,Mixco,460576.0,14.633333,-90.606389
gt,villa nueva,Villa Nueva,397158.0,14.526944,-90.5875
gw,bissau,Bissau,388094.0,11.85,-15.5833333
hn,san pedro sula,San Pedro Sula,489506.0,15.5,-88.0333333
hn,tegucigalpa,Tegucigalpa,850961.0,14.1,-87.2166667
hr,zagreb,Zagreb,698967.0,45.8,16.0
ht,carrefour,Carrefour,439590.0,18.5383333,-72.4122222
ht,delmas,Delmas,377194.0,18.5447222,-72.30277779999999
ht,port-au-prince,Port-au-Prince,1234750.0,18.5391667,-72.335
hu,budapest,Budapest,1708088.0,47.5,19.083333
id,ambon,Ambon,355607.0,-3.695426,128.181405
id,balikpapan,Balikpapan,433939.0,-1.283333,116.833333
id,bandung,Bandung,1699822.0,-6.903889,107.61861100000002
id,banjarmasin,Banjarmasin,572910.0,-3.333333,114.583333
id,bekasi,Bekasi,1520204.0,-6.2349,106.9896
id,bengkulu,Bengkulu,309759.0,-3.8,102.266667
id,bogor,Bogor,769328.0,-6.594444,106.789167
id,cimahi,Cimahi,378027.0,-6.698333,107.275278
id,denpasar,Denpasar,405959.0,-8.65,115.216667
id,depok,Depok,1198195.0,-6.343333,106.498889
id,jakarta,Jakarta,8540306.0,-6.174444,106.829444
id,jambi,Jambi,420391.0,-1.6,103.616667
id,makasar,Makasar,1321832.0,-5.14,119.4221
id,malang,Malang,746780.0,-7.9797,112.6304
id,manado,Manado,451910.0,1.487,124.8455
id,mataram,Mataram,318712.0,-8.583333,116.116667
id,medan,Medan,1751190.0,3.583333,98.666667
id,pacet,Pacet,328324.0,-6.750278,107.046667
id,padang,Padang,840458.0,-0.953154,100.367659
id,palembang,Palembang,1241334.0,-2.916667,104.75
id,pontianak,Pontianak,455226.0,-0.033333,109.333333
id,samarinda,Samarinda,355223.0,-0.5,117.15
id,semarang,Semarang,1288221.0,-6.9932,110.4203
id,surabaya,Surabaya,2374920.0,-7.249167,112.750833
id,surakarta,Surakarta,555368.0,-7.556111,110.831667
id,tambun,Tambun,314271.0,-6.105278,107.222222
id,tangerang,Tangerang,1372185.0,-6.178056,106.63
id,yogyakarta,Yogyakarta,636711.0,-7.782777999999999,110.360833
ie,dublin,Dublin,1024027.0,53.3330556,-6.2488889
il,jerusalem,Jerusalem,714685.0,31.78,35.23
il,tel aviv-yafo,Tel Aviv-Yafo,370480.0,32.067778000000004,34.764722
in,agra,Agra,1430194.0,27.183333,78.016667
in,ahmadabad,Ahmadabad,3719933.0,23.033333,72.616667
in,ahmadnagar,Ahmadnagar,367168.0,19.083333,74.733333
